created_date,final_score,score
2017-03-17,-0.4448703646659851,20.2
2017-03-18,-0.3672230005264282,14.8
2017-03-19,0.5411255955696106,3.6
2017-03-20,-0.3557524919509888,7.2
2017-03-21,0.3533913612365723,3.8
2017-03-22,-0.623054027557373,11.8
2017-03-23,0.17273120880126952,7.2
2017-03-24,-0.091326504945755,6.8
2017-03-25,-0.49607871770858764,4.4
2017-03-26,-0.10275379419326783,15.0
2017-03-27,0.02776128053665161,10.6
2017-03-28,-0.3210489273071289,7.0
2017-03-29,0.14643664360046388,3.6
2017-03-30,-0.21494762897491454,5.2
2017-03-31,-0.2529256820678711,4.4
2017-04-01,-0.4505185067653656,9.6
2017-04-02,-0.26085923314094545,4.8
2017-04-03,-0.3455433249473572,8.8
2017-04-04,-0.20782185792922975,5.8
2017-04-05,-0.04521114826202392,14.4
2017-04-06,-0.07093688249588012,4.2
2017-04-07,0.15573089122772216,4.6
2017-04-08,-0.07553350329399108,10.0
2017-04-09,-0.7104637861251831,190.2
2017-04-10,-0.6197490811347961,21.6
2017-04-11,0.2983617901802063,11.8
2017-04-12,0.1241220474243164,2.4
2017-04-13,-0.16385875940322875,6.8
2017-04-14,-0.47644245624542236,3.4
2017-04-15,-0.10777205228805542,16.4
2017-04-16,-0.1561632513999939,29.2
2017-04-17,-0.3583005666732788,6.2
2017-04-18,-0.17398545742034913,7.6
2017-04-19,-0.2794738054275513,3.4
2017-04-20,-0.0647734522819519,61.0
2017-04-21,-0.07373161315917968,10.8
2017-04-22,-0.7968477725982666,16.2
2017-04-23,-0.22648563385009765,7.4
2017-04-24,-0.07025458812713622,54.6
2017-04-25,-0.26557585000991824,3.4
2017-04-26,-0.15351390838623047,16.6
2017-04-27,-0.060972630977630615,26.4
2017-04-28,-0.2796865224838257,3.8
2017-04-29,-0.076248300075531,8.0
2017-04-30,-0.47784762382507323,24.0
2017-05-01,-0.4886702299118042,2.4
2017-05-02,-0.18749580383300782,20.0
2017-05-03,-0.2913936018943787,7.0
2017-05-04,0.1277219533920288,2.8
2017-05-05,-0.10332523584365845,17.4
2017-05-06,-0.2817309260368347,7.0
2017-05-07,-0.18034489154815675,7.8
2017-05-08,0.11647804975509643,7.2
2017-05-09,-0.3113021194934845,8.4
2017-05-10,-0.21267128586769105,2.8
2017-05-11,0.1269410252571106,31.6
2017-05-12,-0.24163098335266114,7.6
2017-05-13,0.506688368320465,6.2
2017-05-14,-0.49448912143707274,10.4
2017-05-15,-0.3536629557609558,14.4
2017-05-16,0.024343490600585938,10.2
2017-05-17,-0.6192073583602905,37.4
2017-05-18,-0.24662848711013793,10.6
2017-05-19,-0.2283119559288025,12.2
2017-05-20,-0.19314631223678588,6.8
2017-05-21,-0.2185682773590088,16.0
2017-05-22,-0.1567366123199463,7.4
2017-05-23,-0.10336899161338806,8.4
2017-05-24,-0.03987241983413696,5.8
2017-05-25,-0.400685977935791,6.4
2017-05-26,-0.11340161561965942,4.6
2017-05-27,-0.15937777161598204,7.6
2017-05-28,0.36733593940734866,10.4
2017-05-29,-0.11270272731781006,11.6
2017-05-30,-0.394858717918396,3.2
2017-05-31,-0.590665054321289,4.8
2017-06-01,0.5716745018959045,4.0
2017-06-02,-0.17146095037460327,9.6
2017-06-03,0.0020925283432006838,2.4
2017-06-04,-0.1704304814338684,23.4
2017-06-05,-0.36418492794036866,4.6
2017-06-06,-0.19985731840133666,3.0
2017-06-07,-0.37579730749130247,19.8
2017-06-08,-0.33844772577285764,5.0
2017-06-09,-0.10700879096984864,8.0
2017-06-10,-0.30155205726623535,12.6
2017-06-11,0.09723259210586548,3.4
2017-06-12,-0.1148574709892273,3.8
2017-06-13,-0.2790612459182739,13.0
2017-06-14,-0.13977867364883423,7.0
2017-06-15,0.024080514907836914,3.6
2017-06-16,-0.6341613888740539,5.8
2017-06-17,0.08780996799468994,7.0
2017-06-18,-0.33161104917526246,34.4
2017-06-19,-0.09775048494338989,5.0
2017-06-20,0.0,10.2
2017-06-21,0.19081742763519288,20.0
2017-06-22,-0.08069777488708496,6.0
2017-06-23,-0.34575988054275514,14.6
2017-06-24,-0.29891892671585085,12.8
2017-06-25,-0.16502807140350342,4.2
2017-06-26,-0.1680457353591919,6.0
2017-06-27,0.12775856256484985,6.4
2017-06-28,-0.2755444049835205,5.4
2017-06-29,-0.04263097047805786,3.0
2017-06-30,0.011877858638763427,7.2
2017-07-01,-0.48761900663375857,8.8
2017-07-02,-0.4750283002853394,12.4
2017-07-03,-0.3078181385993958,27.0
2017-07-04,0.10794986486434936,4.4
2017-07-05,-0.16060489416122437,34.8
2017-07-06,-0.2873340368270874,37.2
2017-07-07,-0.23812506198883057,15.0
2017-07-08,-0.47668784856796265,10.2
2017-07-09,-0.28676819801330566,3.2
2017-07-10,-0.201472270488739,9.0
2017-07-11,-0.14408057928085327,3.2
2017-07-12,-0.4331717073917389,4.4
2017-07-13,-0.2574130892753601,7.0
2017-07-14,-0.01058286428451538,7.0
2017-07-15,-0.08866603970527649,11.6
2017-07-16,-0.08404290676116943,15.0
2017-07-17,-0.29932191371917727,6.8
2017-07-18,0.035635852813720705,3.6
2017-07-19,-0.4923206567764282,8.8
2017-07-20,-0.0721403956413269,29.6
2017-07-21,-0.46759328842163084,3.2
2017-07-22,0.3507067203521729,5.4
2017-07-23,-0.08794409632682801,5.6
2017-07-24,-0.46760175228118894,7.6
2017-07-25,0.13324617147445678,3.2
2017-07-26,0.2101482033729553,4.0
2017-07-27,-0.35898531675338746,4.8
2017-07-28,-0.42247220277786257,5.0
2017-07-29,-0.39144124984741213,12.8
2017-07-30,0.048465502262115476,3.4
2017-07-31,0.02779809236526489,8.0
2017-08-01,-0.1828569293022156,8.4
2017-08-02,-0.3213741183280945,5.2
2017-08-03,-0.3647987723350525,15.6
2017-08-04,-0.1970280408859253,14.6
2017-08-05,-0.19014521837234497,2.4
2017-08-06,0.0,8.0
2017-08-07,0.10677167177200317,16.2
2017-08-08,0.15259765982627868,6.0
2017-08-09,0.24663666486740113,3.6
2017-08-10,-0.39039294719696044,13.0
2017-08-11,0.17633072137832642,6.2
2017-08-12,-0.19112367033958436,11.8
2017-08-13,0.0682983160018921,5.4
2017-08-14,-0.11763213872909546,12.8
2017-08-15,-0.14475263357162477,5.0
2017-08-16,-0.023476850986480714,16.2
2017-08-17,-0.6121088743209839,4.0
2017-08-18,-0.5264599323272705,8.2
2017-08-19,-0.21516177654266358,43.4
2017-08-20,-0.4211859107017517,3.2
2017-08-21,-0.5578939557075501,12.6
2017-08-22,-0.18585668206214906,6.8
